date,code,side,qty,price,pnl,reason,strategy,trend_score,fundamental_score,news_score,weather_score,total_score,score_label,replacement_from,replacement_score_delta
2015-01-02,US.QQQ,BUY,133,93.879533557,,QQQ_BETA_FLOOR,core_etf,,,,,,,,
2015-03-09,US.GLD,BUY,6,111.97,,SIGNAL,boll_mr,24.391452148323804,,,100.0,49.59,OBSERVATION,,
2015-03-11,US.RSP,BUY,10,65.642858534,,SIGNAL,boll_mr,30.23867740283382,,,100.0,53.49,OBSERVATION,,
2015-03-16,US.STM,BUY,879,8.223306609,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2015-03-16,US.REGN,BUY,12,448.06920497,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2015-03-16,US.PAYX,BUY,131,35.940754449,,SIGNAL,atr_breakout,78.77266431168178,,,100.0,85.85,FULL,,
2015-03-16,US.CTAS,BUY,148,18.977131299,,SIGNAL,atr_breakout,56.963601712475075,,,100.0,71.31,PARTIAL,,
2015-03-16,US.ORLY,BUY,167,14.337000071,,SIGNAL,atr_breakout,47.93677927514009,,,100.0,65.29,PARTIAL,,
2015-03-16,US.AMGN,BUY,17,117.642047435,,SIGNAL,atr_breakout,45.01681079867063,,,100.0,63.34,PARTIAL,,
2015-03-16,US.INTU,BUY,19,90.672907363,,SIGNAL,atr_breakout,42.959789142035525,,,100.0,61.97,PARTIAL,,
2015-03-16,US.COHR,BUY,24,18.05,,SIGNAL,atr_breakout,11.882089598484235,,,100.0,41.25,OBSERVATION,,
2015-03-17,US.REGN,BUY,6,463.967890929,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2015-03-18,US.AMGN,BUY,23,120.174854811,,SIGNAL,atr_breakout,79.08996823214312,,,100.0,86.06,FULL,,
2015-03-23,US.SLV,BUY,38,16.3,,SIGNAL,atr_breakout,37.85484988470713,,,100.0,58.57,OBSERVATION,,
2015-03-26,US.FANG,BUY,66,59.142639644,,SIGNAL,atr_breakout,46.389278481123895,,,100.0,64.26,PARTIAL,,
2015-03-30,US.ADI,BUY,88,51.802658535,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2015-03-30,US.EA,BUY,64,57.713079693,,SIGNAL,atr_breakout,75.98251154246836,,,100.0,83.99,FULL,,
